Provinsi,Tahun,Fakor Perceraian - Zina,Fakor Perceraian - Mabuk,Fakor Perceraian - Madat,Fakor Perceraian - Judi,Fakor Perceraian - Meninggalkan Salah satu Pihak,Fakor Perceraian - Dihukum Penjara,Fakor Perceraian - Poligami,Fakor Perceraian - Kekerasan Dalam Rumah Tangga,Fakor Perceraian - Cacat Badan,Fakor Perceraian - Perselisihan dan Pertengkaran Terus Menerus,Fakor Perceraian - Kawin Paksa,Fakor Perceraian - Murtad,Fakor Perceraian - Ekonomi,Fakor Perceraian - Lain-lain,Fakor Perceraian - Jumlah
Sulawesi Utara,2020,9,49,,4,196,3,1,32,1,912,,51,40,,1298
Sulawesi Tengah,2020,,35,1,5,143,3,3,36,4,1342,,2,36,,1610
Sulawesi Selatan,2020,15,148,16,45,2566,30,42,350,18,8863,38,51,515,,12697
Sulawesi Tenggara,2020,3,77,,8,516,3,19,129,10,1903,1,6,93,,2768
Gorontalo,2020,1,95,2,2,325,1,9,24,,958,2,5,28,,1452
Sulawesi Barat,2020,...,...,...,...,...,...,...,...,...,...,...,...,...,...,
Maluku,2020,,,,1,41,,,9,,169,,2,3,,225
Maluku Utara,2020,1,14,1,1,170,,2,21,1,258,1,1,5,,476
Papua Barat,2020,...,...,...,...,...,...,...,...,...,...,...,...,...,...,
Papua,2020,10,21,,6,303,4,1,37,1,1006,,16,119,,1524
